Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,VIC,Papua New Guinea,184,129,159,158,159,129,146,216,225,273,347,408,358,313,312,298,399,381,149
Higher Education,VIC,Peru,76,125,120,165,391,644,722,775,719,750,724,585,672,864,942,872,970,1000,495
Higher Education,VIC,Philippines,908,942,1045,1066,1177,1261,1264,1570,2016,3597,5474,6867,8992,10631,13052,13403,13013,13828,6405
Higher Education,VIC,Poland,153,174,263,310,270,345,282,237,315,305,306,346,378,323,278,402,489,549,233
Higher Education,VIC,Portugal,810,921,956,931,947,1007,1108,1368,1500,1340,1297,1194,1157,1012,1100,1137,1247,1356,619
Higher Education,VIC,Romania,64,106,94,95,99,141,89,83,146,227,231,276,355,370,342,244,260,260,120
Higher Education,VIC,Russian Federation,809,1067,999,852,825,837,840,1031,1051,1165,1306,1664,1852,1893,1805,2035,2407,2241,921
Higher Education,VIC,Saudi Arabia,167,266,431,790,1331,2042,3705,8239,13618,15870,15093,13156,13613,15115,16531,16166,13950,17786,8866
Higher Education,VIC,Singapore,33431,32771,30159,27259,27615,27300,27402,29640,30418,29971,28442,26283,25182,26857,25338,26284,26743,24994,10631
Higher Education,VIC,Slovenia,55,58,46,69,35,23,28,41,22,22,30,48,48,68,70,45,67,60,29
Higher Education,VIC,South Africa,468,539,421,564,527,461,530,682,730,845,834,930,789,891,836,980,1060,1225,584
Higher Education,VIC,Spain,128,159,130,129,109,173,204,275,353,340,371,472,653,611,716,877,1033,978,435
Higher Education,VIC,Sri Lanka,16129,16762,16238,16195,18449,23310,26097,27903,26481,24052,20788,21243,25522,31491,40149,52913,65943,79126,35124
Higher Education,VIC,Sweden,2037,2267,1751,1558,1485,1524,1325,1293,1406,1335,1533,1165,1209,1218,1373,1312,1134,964,417
Higher Education,VIC,Switzerland,393,370,305,276,259,277,291,309,423,470,372,410,369,325,306,230,382,491,230
Higher Education,VIC,Syria,70,72,47,77,72,79,69,69,75,128,101,94,95,105,113,95,100,82,34
Higher Education,VIC,Taiwan,10933,11328,11010,10326,9002,8352,7962,7712,7823,7488,6814,6124,6093,6628,7222,7995,9725,10898,5043
Higher Education,VIC,Tanzania,117,143,211,220,255,288,241,277,333,341,332,314,283,208,201,283,363,375,150
Higher Education,VIC,Thailand,17045,20042,19439,17873,16175,17126,16299,15235,14918,14052,12516,10707,10255,9494,9393,9785,9698,10076,4486
Higher Education,VIC,Turkey,775,816,744,682,630,628,762,1162,1468,1699,1627,1317,1177,1218,1257,1543,1781,1646,605
Higher Education,VIC,Ukraine,98,103,90,93,62,72,107,117,126,200,231,238,270,344,427,422,354,321,82
Higher Education,VIC,United Arab Emirates,443,560,696,922,1684,2397,2748,3207,4164,4265,3303,2208,1332,870,636,625,822,1003,528
Higher Education,VIC,United Kingdom,3811,4251,4816,4967,5321,5343,5000,5103,5232,5256,5106,4796,4501,4236,4339,4305,4240,3930,1766
Higher Education,VIC,United States of America,3494,5026,4526,4994,4995,4934,4820,4879,4773,4840,4849,5225,5501,5653,5925,6212,6704,6573,2885
Higher Education,VIC,Venezuela,104,121,203,206,194,187,245,314,605,1005,1159,1052,1071,1050,830,542,490,446,132
Higher Education,VIC,Vietnam,7624,9007,9683,11121,12406,14644,19263,28413,38764,46960,46384,46094,48340,53254,59929,65403,68876,70871,31675
Higher Education,VIC,Zambia,218,322,431,389,420,432,357,324,269,231,249,315,364,347,276,292,273,304,129
Higher Education,VIC,Zimbabwe,979,1995,2896,3751,3984,4002,4032,3816,3146,2398,1539,1314,1389,1309,1555,1871,2034,2040,982
Higher Education,QLD,Argentina,224,274,236,176,147,135,166,207,167,125,117,92,110,94,169,230,225,234,139
Higher Education,QLD,Austria,103,201,236,280,263,202,194,228,337,372,317,322,377,328,391,403,424,289,106
Higher Education,QLD,Bahrain,244,432,627,858,977,995,1038,1076,1032,813,620,413,345,185,215,205,181,131,35
Higher Education,QLD,Bangladesh,1777,2157,2014,2089,1821,1735,1496,1486,1512,1610,1770,2086,2740,3215,3612,3788,3974,4085,1916
Higher Education,QLD,Belgium,412,442,418,538,601,619,770,794,812,733,637,500,478,338,308,304,389,420,180
Higher Education,QLD,Botswana,1374,1648,1725,1599,1307,841,670,663,538,428,349,227,223,144,137,176,241,242,143
Higher Education,QLD,Brazil,1460,1348,1346,1405,1478,1601,1784,2001,2096,1949,1966,1807,1910,1991,2349,3192,3926,4353,2049
Higher Education,QLD,Brunei Darussalam,1198,1681,2257,2665,2730,2554,2518,2321,2050,1729,1323,961,797,653,693,615,504,504,218
Higher Education,QLD,Canada,4404,6546,8020,9593,11760,15247,17405,18257,18815,17653,16975,16132,14969,14254,13200,12389,13109,13473,6439
Higher Education,QLD,Chile,63,127,202,217,242,275,464,600,864,1245,1291,1310,1309,1054,998,1140,1101,1139,554
Higher Education,QLD,China,15948,22548,33452,47726,56366,58672,65633,84447,111400,125460,120583,112423,109932,114004,127274,151803,183571,210094,88809
Higher Education,QLD,Colombia,1822,2000,1744,1573,1389,1368,1540,2178,2631,3131,3619,3486,3209,2682,2807,2939,3285,3832,1722
Higher Education,QLD,Czech Republic,195,264,318,273,223,118,148,115,103,139,184,205,204,156,159,168,187,209,80
Higher Education,QLD,Denmark,301,251,299,346,382,321,380,582,713,688,703,532,352,416,526,444,567,391,165
Higher Education,QLD,Ecuador,70,141,197,175,152,167,216,287,417,407,684,1045,1790,2364,2214,2073,1653,1027,264
Higher Education,QLD,Egypt,59,121,155,111,208,254,272,309,339,311,236,173,265,332,367,427,467,488,243
Higher Education,QLD,Fiji,1277,1053,1062,925,978,1054,951,834,821,886,772,682,567,564,487,467,517,565,316
Higher Education,QLD,Finland,141,82,166,190,188,215,276,422,584,606,472,427,508,435,422,402,393,315,89
Higher Education,QLD,France,1452,1663,2073,2654,3463,4279,4557,5638,7448,6935,5503,4775,4153,3778,3318,3163,2903,2765,1279
Higher Education,QLD,Germany,2093,2779,3160,3430,3713,3657,3737,4037,4574,4839,4067,3787,3337,3311,3502,3681,3574,3522,1553
Higher Education,QLD,Ghana,174,197,190,220,219,236,245,226,229,198,225,346,451,477,625,758,790,829,322
Higher Education,QLD,Hong Kong,14424,18561,21736,20246,16795,12976,9966,9398,10445,11111,12706,14884,16203,16974,18655,20037,20486,20306,9083
Higher Education,QLD,Hungary,162,197,221,142,195,153,92,69,112,138,175,241,297,269,387,459,431,325,72
Higher Education,QLD,India,11591,12110,15235,20384,22185,25454,32193,39342,36693,24944,18560,23867,41770,53630,66234,73486,83724,109099,48263
Higher Education,QLD,Indonesia,8633,9202,9268,8442,6979,5989,5312,5704,6459,6645,6579,6761,6528,6811,7306,7670,7942,7974,3538
Higher Education,QLD,Iran,307,682,1178,1396,1472,1989,2248,2398,3261,3672,3826,4213,4525,4540,4396,3965,3699,3527,1475
Higher Education,QLD,Ireland,122,227,297,254,205,229,193,217,376,350,365,245,187,155,135,123,229,243,97
Higher Education,QLD,Italy,321,346,447,466,476,679,684,818,909,1008,940,1069,1231,1292,1390,1426,1423,1340,585
Higher Education,QLD,Japan,7969,8998,10195,11193,11205,10206,8947,7861,7532,6388,5832,5379,5154,4626,4152,4534,5605,6330,2969
Higher Education,QLD,Jordan,193,202,248,319,341,353,380,513,579,438,353,436,530,627,690,758,764,883,353
Higher Education,QLD,Kenya,975,941,726,564,649,730,802,859,1019,1035,970,991,1193,1094,1181,1374,1465,1607,898
Higher Education,QLD,"Korea, Republic of (South)",8812,10460,12701,14146,15006,15399,16844,18867,19711,19895,18930,17623,15875,14459,13534,12979,13504,15389,7386
Higher Education,QLD,Kuwait,55,159,199,242,404,602,688,944,1066,1116,1094,1981,3300,3614,3545,3286,2651,1384,384
Higher Education,QLD,Lebanon,119,125,90,60,88,112,106,110,103,62,65,86,136,153,154,145,137,143,68
Higher Education,QLD,Macau,59,42,94,135,168,254,402,514,724,932,1068,1129,1215,1276,1458,1640,1654,1728,772
Higher Education,QLD,Malaysia,16803,19435,20531,19246,17766,17619,18664,21692,24105,24145,21994,20043,20501,21817,22902,22366,19789,17431,6901
Higher Education,QLD,Maldives,258,308,397,432,430,327,484,412,304,250,213,149,135,141,222,209,217,206,97
Higher Education,QLD,Mauritius,391,480,430,433,360,423,458,624,756,701,572,397,355,387,402,459,429,404,204
Higher Education,QLD,Mexico,368,683,877,885,931,976,1001,979,1004,1168,1195,1089,1007,889,755,814,830,910,374
